employee_id,recommended_learning_plan
56,Critical Thinking & Complex Decision Making (C-SOFT-01)
57,Critical Thinking & Complex Decision Making (C-SOFT-01)
58,Critical Thinking & Complex Decision Making (C-SOFT-01)
60,Executive Communication & Stakeholder Alignment (C-SOFT-02)
61,Applied Machine Learning & Deep Learning (C-TECH-03)
62,Executive Communication & Stakeholder Alignment (C-SOFT-02)
63,Executive Communication & Stakeholder Alignment (C-SOFT-02)
64,Critical Thinking & Complex Decision Making (C-SOFT-01)
65,Executive Communication & Stakeholder Alignment (C-SOFT-02)
68,Critical Thinking & Complex Decision Making (C-SOFT-01)
70,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
72,Executive Communication & Stakeholder Alignment (C-SOFT-02)
73,Executive Communication & Stakeholder Alignment (C-SOFT-02)
74,Executive Communication & Stakeholder Alignment (C-SOFT-02)
75,Executive Communication & Stakeholder Alignment (C-SOFT-02)
76,Executive Communication & Stakeholder Alignment (C-SOFT-02)
77,Critical Thinking & Complex Decision Making (C-SOFT-01)
78,Executive Communication & Stakeholder Alignment (C-SOFT-02)
79,Executive Communication & Stakeholder Alignment (C-SOFT-02)
80,Critical Thinking & Complex Decision Making (C-SOFT-01)
81,Critical Thinking & Complex Decision Making (C-SOFT-01)
83,Critical Thinking & Complex Decision Making (C-SOFT-01)
84,Critical Thinking & Complex Decision Making (C-SOFT-01)
85,Critical Thinking & Complex Decision Making (C-SOFT-01)
86,Executive Communication & Stakeholder Alignment (C-SOFT-02)
88,Executive Communication & Stakeholder Alignment (C-SOFT-02)
90,Critical Thinking & Complex Decision Making (C-SOFT-01)
91,Executive Communication & Stakeholder Alignment (C-SOFT-02)
94,Critical Thinking & Complex Decision Making (C-SOFT-01)
95,Executive Communication & Stakeholder Alignment (C-SOFT-02)
96,Executive Communication & Stakeholder Alignment (C-SOFT-02)
97,Executive Communication & Stakeholder Alignment (C-SOFT-02)
98,Critical Thinking & Complex Decision Making (C-SOFT-01)
100,Critical Thinking & Complex Decision Making (C-SOFT-01)
101,Critical Thinking & Complex Decision Making (C-SOFT-01)
102,Critical Thinking & Complex Decision Making (C-SOFT-01)
103,Executive Communication & Stakeholder Alignment (C-SOFT-02)
104,Critical Thinking & Complex Decision Making (C-SOFT-01)
105,Executive Communication & Stakeholder Alignment (C-SOFT-02)
106,Critical Thinking & Complex Decision Making (C-SOFT-01)
107,Critical Thinking & Complex Decision Making (C-SOFT-01)
110,Critical Thinking & Complex Decision Making (C-SOFT-01)
112,Executive Communication & Stakeholder Alignment (C-SOFT-02)
113,Executive Communication & Stakeholder Alignment (C-SOFT-02)
116,Critical Thinking & Complex Decision Making (C-SOFT-01)
117,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
118,Executive Communication & Stakeholder Alignment (C-SOFT-02)
119,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
120,Critical Thinking & Complex Decision Making (C-SOFT-01)
121,Executive Communication & Stakeholder Alignment (C-SOFT-02)
124,Executive Communication & Stakeholder Alignment (C-SOFT-02)
125,Critical Thinking & Complex Decision Making (C-SOFT-01)
126,Executive Communication & Stakeholder Alignment (C-SOFT-02)
128,Executive Communication & Stakeholder Alignment (C-SOFT-02)
129,Executive Communication & Stakeholder Alignment (C-SOFT-02)
131,Critical Thinking & Complex Decision Making (C-SOFT-01)
132,Critical Thinking & Complex Decision Making (C-SOFT-01)
133,Critical Thinking & Complex Decision Making (C-SOFT-01)
134,Critical Thinking & Complex Decision Making (C-SOFT-01)
137,Critical Thinking & Complex Decision Making (C-SOFT-01)
138,Critical Thinking & Complex Decision Making (C-SOFT-01)
139,Critical Thinking & Complex Decision Making (C-SOFT-01)
140,Critical Thinking & Complex Decision Making (C-SOFT-01)
141,Critical Thinking & Complex Decision Making (C-SOFT-01)
142,Executive Communication & Stakeholder Alignment (C-SOFT-02)
143,Executive Communication & Stakeholder Alignment (C-SOFT-02)
144,Critical Thinking & Complex Decision Making (C-SOFT-01)
145,Executive Communication & Stakeholder Alignment (C-SOFT-02)
147,Executive Communication & Stakeholder Alignment (C-SOFT-02)
148,Critical Thinking & Complex Decision Making (C-SOFT-01)
150,Executive Communication & Stakeholder Alignment (C-SOFT-02)
151,Executive Communication & Stakeholder Alignment (C-SOFT-02)
152,Executive Communication & Stakeholder Alignment (C-SOFT-02)
153,Critical Thinking & Complex Decision Making (C-SOFT-01)
154,Critical Thinking & Complex Decision Making (C-SOFT-01)
155,Critical Thinking & Complex Decision Making (C-SOFT-01)
158,Critical Thinking & Complex Decision Making (C-SOFT-01)
159,Executive Communication & Stakeholder Alignment (C-SOFT-02)
160,Executive Communication & Stakeholder Alignment (C-SOFT-02)
161,Critical Thinking & Complex Decision Making (C-SOFT-01)
162,Critical Thinking & Complex Decision Making (C-SOFT-01)
163,Executive Communication & Stakeholder Alignment (C-SOFT-02)
164,Executive Communication & Stakeholder Alignment (C-SOFT-02)
165,Critical Thinking & Complex Decision Making (C-SOFT-01) + Agile Project Leadership & Team Dynamics (C-SOFT-03)
167,Critical Thinking & Complex Decision Making (C-SOFT-01)
169,Executive Communication & Stakeholder Alignment (C-SOFT-02)
170,Critical Thinking & Complex Decision Making (C-SOFT-01)
171,Executive Communication & Stakeholder Alignment (C-SOFT-02)
174,Critical Thinking & Complex Decision Making (C-SOFT-01)
175,Critical Thinking & Complex Decision Making (C-SOFT-01)
176,Executive Communication & Stakeholder Alignment (C-SOFT-02)
177,Critical Thinking & Complex Decision Making (C-SOFT-01)
178,Executive Communication & Stakeholder Alignment (C-SOFT-02)
179,Executive Communication & Stakeholder Alignment (C-SOFT-02)
182,Critical Thinking & Complex Decision Making (C-SOFT-01)
183,Executive Communication & Stakeholder Alignment (C-SOFT-02)
184,Critical Thinking & Complex Decision Making (C-SOFT-01)
190,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
192,Critical Thinking & Complex Decision Making (C-SOFT-01)
193,Critical Thinking & Complex Decision Making (C-SOFT-01)
194,Executive Communication & Stakeholder Alignment (C-SOFT-02)
195,Executive Communication & Stakeholder Alignment (C-SOFT-02)
197,Critical Thinking & Complex Decision Making (C-SOFT-01)
198,Critical Thinking & Complex Decision Making (C-SOFT-01)
199,Executive Communication & Stakeholder Alignment (C-SOFT-02)
200,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
201,Critical Thinking & Complex Decision Making (C-SOFT-01)
202,Critical Thinking & Complex Decision Making (C-SOFT-01)
204,Critical Thinking & Complex Decision Making (C-SOFT-01)
205,Executive Communication & Stakeholder Alignment (C-SOFT-02)
206,Executive Communication & Stakeholder Alignment (C-SOFT-02)
207,Executive Communication & Stakeholder Alignment (C-SOFT-02)
208,Critical Thinking & Complex Decision Making (C-SOFT-01)
211,Critical Thinking & Complex Decision Making (C-SOFT-01)
214,Applied Machine Learning & Deep Learning (C-TECH-03)
215,Executive Communication & Stakeholder Alignment (C-SOFT-02)
216,Executive Communication & Stakeholder Alignment (C-SOFT-02)
217,Critical Thinking & Complex Decision Making (C-SOFT-01)
218,Critical Thinking & Complex Decision Making (C-SOFT-01)
221,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Applied Machine Learning & Deep Learning (C-TECH-03)
223,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
224,Executive Communication & Stakeholder Alignment (C-SOFT-02)
226,Critical Thinking & Complex Decision Making (C-SOFT-01)
227,Critical Thinking & Complex Decision Making (C-SOFT-01)
228,Executive Communication & Stakeholder Alignment (C-SOFT-02)
230,Executive Communication & Stakeholder Alignment (C-SOFT-02)
231,Critical Thinking & Complex Decision Making (C-SOFT-01)
233,Executive Communication & Stakeholder Alignment (C-SOFT-02)
235,Critical Thinking & Complex Decision Making (C-SOFT-01)
238,Executive Communication & Stakeholder Alignment (C-SOFT-02)
239,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
240,Critical Thinking & Complex Decision Making (C-SOFT-01)
241,Executive Communication & Stakeholder Alignment (C-SOFT-02)
242,Critical Thinking & Complex Decision Making (C-SOFT-01)
243,Executive Communication & Stakeholder Alignment (C-SOFT-02)
244,Critical Thinking & Complex Decision Making (C-SOFT-01)
245,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
246,Critical Thinking & Complex Decision Making (C-SOFT-01)
247,Executive Communication & Stakeholder Alignment (C-SOFT-02)
248,Executive Communication & Stakeholder Alignment (C-SOFT-02)
249,Critical Thinking & Complex Decision Making (C-SOFT-01)
250,Executive Communication & Stakeholder Alignment (C-SOFT-02)
252,Critical Thinking & Complex Decision Making (C-SOFT-01)
253,Executive Communication & Stakeholder Alignment (C-SOFT-02)
254,Critical Thinking & Complex Decision Making (C-SOFT-01)
256,Executive Communication & Stakeholder Alignment (C-SOFT-02)
258,Critical Thinking & Complex Decision Making (C-SOFT-01)
259,Critical Thinking & Complex Decision Making (C-SOFT-01)
260,Critical Thinking & Complex Decision Making (C-SOFT-01)
261,Critical Thinking & Complex Decision Making (C-SOFT-01)
262,Production MLOps & Model Deployment (C-TECH-04)
264,Executive Communication & Stakeholder Alignment (C-SOFT-02)
267,Executive Communication & Stakeholder Alignment (C-SOFT-02)
269,Executive Communication & Stakeholder Alignment (C-SOFT-02)
270,Critical Thinking & Complex Decision Making (C-SOFT-01)
271,Executive Communication & Stakeholder Alignment (C-SOFT-02)
273,Critical Thinking & Complex Decision Making (C-SOFT-01)
274,Executive Communication & Stakeholder Alignment (C-SOFT-02)
275,Executive Communication & Stakeholder Alignment (C-SOFT-02)
277,Critical Thinking & Complex Decision Making (C-SOFT-01)
281,Critical Thinking & Complex Decision Making (C-SOFT-01)
282,Critical Thinking & Complex Decision Making (C-SOFT-01)
283,Executive Communication & Stakeholder Alignment (C-SOFT-02)
284,Critical Thinking & Complex Decision Making (C-SOFT-01)
286,Executive Communication & Stakeholder Alignment (C-SOFT-02)
287,Executive Communication & Stakeholder Alignment (C-SOFT-02)
288,Critical Thinking & Complex Decision Making (C-SOFT-01)
291,Critical Thinking & Complex Decision Making (C-SOFT-01)
292,Executive Communication & Stakeholder Alignment (C-SOFT-02)
293,Executive Communication & Stakeholder Alignment (C-SOFT-02)
296,Critical Thinking & Complex Decision Making (C-SOFT-01)
297,Critical Thinking & Complex Decision Making (C-SOFT-01)
298,Executive Communication & Stakeholder Alignment (C-SOFT-02)
299,Critical Thinking & Complex Decision Making (C-SOFT-01)
300,Critical Thinking & Complex Decision Making (C-SOFT-01)
302,Executive Communication & Stakeholder Alignment (C-SOFT-02)
303,Critical Thinking & Complex Decision Making (C-SOFT-01)
304,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
305,Executive Communication & Stakeholder Alignment (C-SOFT-02)
306,Executive Communication & Stakeholder Alignment (C-SOFT-02)
307,Executive Communication & Stakeholder Alignment (C-SOFT-02)
308,Executive Communication & Stakeholder Alignment (C-SOFT-02)
309,Executive Communication & Stakeholder Alignment (C-SOFT-02)
311,Critical Thinking & Complex Decision Making (C-SOFT-01)
312,Executive Communication & Stakeholder Alignment (C-SOFT-02)
314,Critical Thinking & Complex Decision Making (C-SOFT-01)
315,Executive Communication & Stakeholder Alignment (C-SOFT-02)
316,Critical Thinking & Complex Decision Making (C-SOFT-01)
319,Executive Communication & Stakeholder Alignment (C-SOFT-02)
321,Critical Thinking & Complex Decision Making (C-SOFT-01)
323,Critical Thinking & Complex Decision Making (C-SOFT-01)
325,Critical Thinking & Complex Decision Making (C-SOFT-01)
327,Critical Thinking & Complex Decision Making (C-SOFT-01)
328,Executive Communication & Stakeholder Alignment (C-SOFT-02)
329,Executive Communication & Stakeholder Alignment (C-SOFT-02)
330,Executive Communication & Stakeholder Alignment (C-SOFT-02)
331,Critical Thinking & Complex Decision Making (C-SOFT-01)
332,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
333,Executive Communication & Stakeholder Alignment (C-SOFT-02)
334,Executive Communication & Stakeholder Alignment (C-SOFT-02)
335,Executive Communication & Stakeholder Alignment (C-SOFT-02)
336,Executive Communication & Stakeholder Alignment (C-SOFT-02)
337,Executive Communication & Stakeholder Alignment (C-SOFT-02)
338,Executive Communication & Stakeholder Alignment (C-SOFT-02)
339,Executive Communication & Stakeholder Alignment (C-SOFT-02)
340,Critical Thinking & Complex Decision Making (C-SOFT-01)
341,Critical Thinking & Complex Decision Making (C-SOFT-01)
342,Critical Thinking & Complex Decision Making (C-SOFT-01)
343,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
346,Executive Communication & Stakeholder Alignment (C-SOFT-02)
347,Executive Communication & Stakeholder Alignment (C-SOFT-02)
349,Executive Communication & Stakeholder Alignment (C-SOFT-02)
350,Executive Communication & Stakeholder Alignment (C-SOFT-02)
351,Executive Communication & Stakeholder Alignment (C-SOFT-02)
352,Executive Communication & Stakeholder Alignment (C-SOFT-02)
353,Executive Communication & Stakeholder Alignment (C-SOFT-02)
355,Executive Communication & Stakeholder Alignment (C-SOFT-02)
359,Executive Communication & Stakeholder Alignment (C-SOFT-02)
361,Critical Thinking & Complex Decision Making (C-SOFT-01)
362,Critical Thinking & Complex Decision Making (C-SOFT-01)
363,Critical Thinking & Complex Decision Making (C-SOFT-01)
364,Critical Thinking & Complex Decision Making (C-SOFT-01)
366,Critical Thinking & Complex Decision Making (C-SOFT-01)
367,Critical Thinking & Complex Decision Making (C-SOFT-01)
369,Executive Communication & Stakeholder Alignment (C-SOFT-02)
372,Critical Thinking & Complex Decision Making (C-SOFT-01)
373,Critical Thinking & Complex Decision Making (C-SOFT-01)
374,Critical Thinking & Complex Decision Making (C-SOFT-01) + Executive Communication & Stakeholder Alignment (C-SOFT-02)
376,Executive Communication & Stakeholder Alignment (C-SOFT-02)
377,Executive Communication & Stakeholder Alignment (C-SOFT-02)
378,Critical Thinking & Complex Decision Making (C-SOFT-01)
379,Executive Communication & Stakeholder Alignment (C-SOFT-02)
380,Executive Communication & Stakeholder Alignment (C-SOFT-02)
381,Executive Communication & Stakeholder Alignment (C-SOFT-02)
382,Critical Thinking & Complex Decision Making (C-SOFT-01)
384,Critical Thinking & Complex Decision Making (C-SOFT-01)
385,Critical Thinking & Complex Decision Making (C-SOFT-01)
386,Critical Thinking & Complex Decision Making (C-SOFT-01)
387,Executive Communication & Stakeholder Alignment (C-SOFT-02)
388,Executive Communication & Stakeholder Alignment (C-SOFT-02)
389,Critical Thinking & Complex Decision Making (C-SOFT-01)
390,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
391,Critical Thinking & Complex Decision Making (C-SOFT-01)
392,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
393,Executive Communication & Stakeholder Alignment (C-SOFT-02)
394,Executive Communication & Stakeholder Alignment (C-SOFT-02)
395,Executive Communication & Stakeholder Alignment (C-SOFT-02)
396,Executive Communication & Stakeholder Alignment (C-SOFT-02)
397,Executive Communication & Stakeholder Alignment (C-SOFT-02)
399,Executive Communication & Stakeholder Alignment (C-SOFT-02)
401,Critical Thinking & Complex Decision Making (C-SOFT-01)
403,Executive Communication & Stakeholder Alignment (C-SOFT-02)
404,Executive Communication & Stakeholder Alignment (C-SOFT-02)
405,Executive Communication & Stakeholder Alignment (C-SOFT-02)
406,Executive Communication & Stakeholder Alignment (C-SOFT-02)
407,Executive Communication & Stakeholder Alignment (C-SOFT-02)
408,Critical Thinking & Complex Decision Making (C-SOFT-01)
410,Critical Thinking & Complex Decision Making (C-SOFT-01)
411,Executive Communication & Stakeholder Alignment (C-SOFT-02)
412,Executive Communication & Stakeholder Alignment (C-SOFT-02)
416,Critical Thinking & Complex Decision Making (C-SOFT-01)
417,Critical Thinking & Complex Decision Making (C-SOFT-01)
419,Critical Thinking & Complex Decision Making (C-SOFT-01)
420,Critical Thinking & Complex Decision Making (C-SOFT-01)
421,Executive Communication & Stakeholder Alignment (C-SOFT-02)
422,Executive Communication & Stakeholder Alignment (C-SOFT-02)
423,Critical Thinking & Complex Decision Making (C-SOFT-01)
424,Critical Thinking & Complex Decision Making (C-SOFT-01)
425,Critical Thinking & Complex Decision Making (C-SOFT-01)
426,Critical Thinking & Complex Decision Making (C-SOFT-01)
428,Critical Thinking & Complex Decision Making (C-SOFT-01)
429,Critical Thinking & Complex Decision Making (C-SOFT-01)
430,Critical Thinking & Complex Decision Making (C-SOFT-01)
431,Critical Thinking & Complex Decision Making (C-SOFT-01)
433,Critical Thinking & Complex Decision Making (C-SOFT-01)
434,Executive Communication & Stakeholder Alignment (C-SOFT-02)
436,Critical Thinking & Complex Decision Making (C-SOFT-01)
437,Executive Communication & Stakeholder Alignment (C-SOFT-02)
438,Critical Thinking & Complex Decision Making (C-SOFT-01)
439,Critical Thinking & Complex Decision Making (C-SOFT-01)
440,Executive Communication & Stakeholder Alignment (C-SOFT-02)
441,Critical Thinking & Complex Decision Making (C-SOFT-01)
442,Critical Thinking & Complex Decision Making (C-SOFT-01)
444,Executive Communication & Stakeholder Alignment (C-SOFT-02)
445,Critical Thinking & Complex Decision Making (C-SOFT-01)
446,Executive Communication & Stakeholder Alignment (C-SOFT-02)
447,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
448,Executive Communication & Stakeholder Alignment (C-SOFT-02)
449,Executive Communication & Stakeholder Alignment (C-SOFT-02)
450,Critical Thinking & Complex Decision Making (C-SOFT-01)
451,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
452,Executive Communication & Stakeholder Alignment (C-SOFT-02)
453,Executive Communication & Stakeholder Alignment (C-SOFT-02)
454,Executive Communication & Stakeholder Alignment (C-SOFT-02)
455,Critical Thinking & Complex Decision Making (C-SOFT-01)
456,Executive Communication & Stakeholder Alignment (C-SOFT-02)
458,Executive Communication & Stakeholder Alignment (C-SOFT-02)
460,Executive Communication & Stakeholder Alignment (C-SOFT-02)
461,Executive Communication & Stakeholder Alignment (C-SOFT-02)
462,Executive Communication & Stakeholder Alignment (C-SOFT-02)
463,Executive Communication & Stakeholder Alignment (C-SOFT-02)
464,Executive Communication & Stakeholder Alignment (C-SOFT-02)
465,Executive Communication & Stakeholder Alignment (C-SOFT-02)
466,Critical Thinking & Complex Decision Making (C-SOFT-01)
467,Critical Thinking & Complex Decision Making (C-SOFT-01)
468,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
469,Executive Communication & Stakeholder Alignment (C-SOFT-02)
470,Executive Communication & Stakeholder Alignment (C-SOFT-02)
471,Executive Communication & Stakeholder Alignment (C-SOFT-02)
473,Executive Communication & Stakeholder Alignment (C-SOFT-02)
474,Executive Communication & Stakeholder Alignment (C-SOFT-02)
475,Executive Communication & Stakeholder Alignment (C-SOFT-02)
476,Executive Communication & Stakeholder Alignment (C-SOFT-02)
477,Executive Communication & Stakeholder Alignment (C-SOFT-02)
478,Critical Thinking & Complex Decision Making (C-SOFT-01)
479,Executive Communication & Stakeholder Alignment (C-SOFT-02)
481,Executive Communication & Stakeholder Alignment (C-SOFT-02)
482,Critical Thinking & Complex Decision Making (C-SOFT-01)
483,Critical Thinking & Complex Decision Making (C-SOFT-01)
484,Critical Thinking & Complex Decision Making (C-SOFT-01)
485,Executive Communication & Stakeholder Alignment (C-SOFT-02)
486,Critical Thinking & Complex Decision Making (C-SOFT-01)
487,Executive Communication & Stakeholder Alignment (C-SOFT-02)
488,Critical Thinking & Complex Decision Making (C-SOFT-01)
491,Executive Communication & Stakeholder Alignment (C-SOFT-02)
492,Executive Communication & Stakeholder Alignment (C-SOFT-02)
493,Executive Communication & Stakeholder Alignment (C-SOFT-02)
494,Executive Communication & Stakeholder Alignment (C-SOFT-02)
495,Critical Thinking & Complex Decision Making (C-SOFT-01)
496,Critical Thinking & Complex Decision Making (C-SOFT-01)
497,Critical Thinking & Complex Decision Making (C-SOFT-01)
498,Critical Thinking & Complex Decision Making (C-SOFT-01)
499,Critical Thinking & Complex Decision Making (C-SOFT-01)
500,Executive Communication & Stakeholder Alignment (C-SOFT-02)
501,Critical Thinking & Complex Decision Making (C-SOFT-01)
502,Critical Thinking & Complex Decision Making (C-SOFT-01)
505,Critical Thinking & Complex Decision Making (C-SOFT-01)
507,Critical Thinking & Complex Decision Making (C-SOFT-01)
508,Critical Thinking & Complex Decision Making (C-SOFT-01)
510,Critical Thinking & Complex Decision Making (C-SOFT-01)
511,Executive Communication & Stakeholder Alignment (C-SOFT-02)
513,Critical Thinking & Complex Decision Making (C-SOFT-01)
514,Critical Thinking & Complex Decision Making (C-SOFT-01)
515,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
516,Critical Thinking & Complex Decision Making (C-SOFT-01)
517,Executive Communication & Stakeholder Alignment (C-SOFT-02)
518,Critical Thinking & Complex Decision Making (C-SOFT-01)
520,Critical Thinking & Complex Decision Making (C-SOFT-01)
521,Executive Communication & Stakeholder Alignment (C-SOFT-02)
522,Critical Thinking & Complex Decision Making (C-SOFT-01)
523,Critical Thinking & Complex Decision Making (C-SOFT-01)
524,Critical Thinking & Complex Decision Making (C-SOFT-01)
525,Executive Communication & Stakeholder Alignment (C-SOFT-02)
526,Critical Thinking & Complex Decision Making (C-SOFT-01)
527,Critical Thinking & Complex Decision Making (C-SOFT-01)
529,Critical Thinking & Complex Decision Making (C-SOFT-01)
530,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
531,Critical Thinking & Complex Decision Making (C-SOFT-01)
532,Executive Communication & Stakeholder Alignment (C-SOFT-02)
533,Critical Thinking & Complex Decision Making (C-SOFT-01)
534,Critical Thinking & Complex Decision Making (C-SOFT-01)
536,Critical Thinking & Complex Decision Making (C-SOFT-01)
538,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
543,Critical Thinking & Complex Decision Making (C-SOFT-01)
544,Executive Communication & Stakeholder Alignment (C-SOFT-02)
546,Critical Thinking & Complex Decision Making (C-SOFT-01)
547,Critical Thinking & Complex Decision Making (C-SOFT-01)
548,Critical Thinking & Complex Decision Making (C-SOFT-01)
549,Critical Thinking & Complex Decision Making (C-SOFT-01)
550,Executive Communication & Stakeholder Alignment (C-SOFT-02)
551,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
554,Executive Communication & Stakeholder Alignment (C-SOFT-02)
555,Critical Thinking & Complex Decision Making (C-SOFT-01)
556,Executive Communication & Stakeholder Alignment (C-SOFT-02)
558,Critical Thinking & Complex Decision Making (C-SOFT-01)
560,Executive Communication & Stakeholder Alignment (C-SOFT-02)
562,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
564,Critical Thinking & Complex Decision Making (C-SOFT-01)
565,Critical Thinking & Complex Decision Making (C-SOFT-01)
566,Executive Communication & Stakeholder Alignment (C-SOFT-02)
567,Critical Thinking & Complex Decision Making (C-SOFT-01)
568,Critical Thinking & Complex Decision Making (C-SOFT-01)
569,Critical Thinking & Complex Decision Making (C-SOFT-01)
571,Critical Thinking & Complex Decision Making (C-SOFT-01)
573,Critical Thinking & Complex Decision Making (C-SOFT-01)
574,Executive Communication & Stakeholder Alignment (C-SOFT-02)
575,Executive Communication & Stakeholder Alignment (C-SOFT-02)
577,Executive Communication & Stakeholder Alignment (C-SOFT-02)
578,Executive Communication & Stakeholder Alignment (C-SOFT-02)
579,Executive Communication & Stakeholder Alignment (C-SOFT-02)
580,Critical Thinking & Complex Decision Making (C-SOFT-01)
581,Critical Thinking & Complex Decision Making (C-SOFT-01)
582,Critical Thinking & Complex Decision Making (C-SOFT-01)
584,Executive Communication & Stakeholder Alignment (C-SOFT-02)
585,Critical Thinking & Complex Decision Making (C-SOFT-01)
586,Executive Communication & Stakeholder Alignment (C-SOFT-02)
587,Critical Thinking & Complex Decision Making (C-SOFT-01)
590,Critical Thinking & Complex Decision Making (C-SOFT-01)
591,Critical Thinking & Complex Decision Making (C-SOFT-01)
592,Executive Communication & Stakeholder Alignment (C-SOFT-02)
593,Critical Thinking & Complex Decision Making (C-SOFT-01)
595,Critical Thinking & Complex Decision Making (C-SOFT-01)
597,Critical Thinking & Complex Decision Making (C-SOFT-01)
