employee_id,job_role,total_required_skills,current_skills_count,matched_skills_count,missing_skills_count,career_readiness_pct,missing_skills_list,current_skills_list
22,Laboratory Technician,20,8,8,12,40.0,Active Listening|Billing software|Critical Thinking|Data entry software|Database software|Google Docs|Microsoft Excel|Microsoft Office software|Microsoft PowerPoint|Microsoft Word|Monitoring|Writing,Active Learning|Commercial plate reader software|MEDITECH software|Microsoft Outlook|Reading Comprehension|SAP software|Science|Speaking
23,Manager,20,14,14,6,70.0,Active Listening|Adobe Acrobat|Atlassian Confluence|Critical Thinking|Microsoft PowerPoint|Writing,Active Learning|Adobe Creative Cloud software|Adobe Photoshop|Amazon Web Services AWS software|Apache Hadoop|Apple macOS|Atlassian JIRA|Autodesk AutoCAD|Learning Strategies|Microsoft Excel|Microsoft Office software|Monitoring|Reading Comprehension|Speaking
24,Research Scientist,22,10,10,12,45.45,Active Listening|Amazon Web Services AWS software|Ansible software|C|C++|Critical Thinking|Docker|Go|Mathematics|Reading Comprehension|Science|Speaking,Active Learning|Apache Hadoop|Apache Kafka|Apache Spark|Bash|Git|GitHub|Learning Strategies|Monitoring|Writing
26,Manufacturing Director,20,9,9,11,45.0,Active Learning|Active Listening|Adobe Creative Cloud software|Apache Hadoop|Atlassian Confluence|Autodesk AutoCAD|Learning Strategies|Microsoft Excel|Microsoft Office software|Reading Comprehension|Writing,Adobe Acrobat|Adobe Photoshop|Amazon Web Services AWS software|Apple macOS|Atlassian JIRA|Critical Thinking|Microsoft PowerPoint|Monitoring|Speaking
27,Sales Representative,19,9,9,10,47.37,Adobe Acrobat|Adobe Illustrator|Adobe InDesign|Apple macOS|Autodesk AutoCAD|Critical Thinking|Microsoft Excel|Microsoft PowerPoint|Reading Comprehension|Salesforce software,Active Learning|Active Listening|Adobe Creative Cloud software|Adobe Photoshop|Microsoft Office software|Microsoft Outlook|Monitoring|Speaking|Writing
28,Research Director,22,12,12,10,54.55,Active Learning|Active Listening|Critical Thinking|ESRI ArcGIS software|Learning Strategies|Microsoft Access|Microsoft Office software|Microsoft Outlook|Reading Comprehension|Science,Adobe Acrobat|Adobe Photoshop|IBM SPSS Statistics|Mathematics|Microsoft Excel|Microsoft PowerPoint|Microsoft Project|Microsoft SharePoint|Microsoft Visio|Monitoring|Speaking|Writing
30,Research Scientist,22,8,8,14,36.36,Active Learning|Active Listening|Amazon Web Services AWS software|Apache Hadoop|Apache Kafka|Apache Spark|Bash|Critical Thinking|GitHub|Go|Learning Strategies|Mathematics|Reading Comprehension|Speaking,Ansible software|C|C++|Docker|Git|Monitoring|Science|Writing
31,Research Scientist,22,10,10,12,45.45,Amazon Web Services AWS software|Ansible software|Apache Hadoop|Apache Kafka|C++|Critical Thinking|Git|GitHub|Go|Mathematics|Reading Comprehension|Writing,Active Learning|Active Listening|Apache Spark|Bash|C|Docker|Learning Strategies|Monitoring|Science|Speaking
32,Manager,20,13,13,7,65.0,Adobe Acrobat|Adobe Photoshop|Amazon Web Services AWS software|Atlassian JIRA|Learning Strategies|Microsoft Office software|Reading Comprehension,Active Learning|Active Listening|Adobe Creative Cloud software|Apache Hadoop|Apple macOS|Atlassian Confluence|Autodesk AutoCAD|Critical Thinking|Microsoft Excel|Microsoft PowerPoint|Monitoring|Speaking|Writing
33,Research Scientist,22,11,11,11,50.0,Active Learning|Apache Hadoop|C++|Critical Thinking|Learning Strategies|Mathematics|Monitoring|Reading Comprehension|Science|Speaking|Writing,Active Listening|Amazon Web Services AWS software|Ansible software|Apache Kafka|Apache Spark|Bash|C|Docker|Git|GitHub|Go
35,Sales Executive,19,9,9,10,47.37,Active Learning|Adobe Acrobat|Adobe Illustrator|Adobe Photoshop|Apple macOS|Autodesk AutoCAD|Microsoft Outlook|Reading Comprehension|Salesforce software|Writing,Active Listening|Adobe Creative Cloud software|Adobe InDesign|Critical Thinking|Microsoft Excel|Microsoft Office software|Microsoft PowerPoint|Monitoring|Speaking
36,Healthcare Representative,19,12,12,7,63.16,Active Learning|Active Listening|Apache Hadoop|Critical Thinking|Google Workspace software|HubSpot software|IBM SPSS Statistics,Amazon Web Services AWS software|Google Analytics|Intuit QuickBooks|Linux|Microsoft Excel|Microsoft Office software|Microsoft Outlook|Monitoring|Reading Comprehension|Salesforce software|Speaking|Writing
38,Manager,20,12,12,8,60.0,Active Listening|Apache Hadoop|Critical Thinking|Microsoft Office software|Microsoft PowerPoint|Monitoring|Speaking|Writing,Active Learning|Adobe Acrobat|Adobe Creative Cloud software|Adobe Photoshop|Amazon Web Services AWS software|Apple macOS|Atlassian Confluence|Atlassian JIRA|Autodesk AutoCAD|Learning Strategies|Microsoft Excel|Reading Comprehension
39,Laboratory Technician,20,9,9,11,45.0,Active Learning|Active Listening|Commercial plate reader software|Critical Thinking|Data entry software|MEDITECH software|Microsoft Excel|Microsoft Office software|Monitoring|Science|Speaking,Billing software|Database software|Google Docs|Microsoft Outlook|Microsoft PowerPoint|Microsoft Word|Reading Comprehension|SAP software|Writing
40,Healthcare Representative,19,9,9,10,47.37,Active Learning|Active Listening|Amazon Web Services AWS software|Intuit QuickBooks|Linux|Microsoft Excel|Microsoft Office software|Monitoring|Reading Comprehension|Speaking,Apache Hadoop|Critical Thinking|Google Analytics|Google Workspace software|HubSpot software|IBM SPSS Statistics|Microsoft Outlook|Salesforce software|Writing
41,Laboratory Technician,20,10,10,10,50.0,Active Learning|Active Listening|Billing software|Commercial plate reader software|Critical Thinking|Database software|Microsoft Excel|Microsoft Office software|Microsoft PowerPoint|Monitoring,Data entry software|Google Docs|MEDITECH software|Microsoft Outlook|Microsoft Word|Reading Comprehension|SAP software|Science|Speaking|Writing
42,Sales Representative,19,11,11,8,57.89,Adobe Acrobat|Adobe Photoshop|Apple macOS|Autodesk AutoCAD|Critical Thinking|Monitoring|Salesforce software|Writing,Active Learning|Active Listening|Adobe Creative Cloud software|Adobe Illustrator|Adobe InDesign|Microsoft Excel|Microsoft Office software|Microsoft Outlook|Microsoft PowerPoint|Reading Comprehension|Speaking
45,Research Scientist,22,10,10,12,45.45,Active Learning|Apache Hadoop|Apache Kafka|Bash|Docker|Git|GitHub|Go|Monitoring|Reading Comprehension|Science|Writing,Active Listening|Amazon Web Services AWS software|Ansible software|Apache Spark|C|C++|Critical Thinking|Learning Strategies|Mathematics|Speaking
46,Research Scientist,22,10,10,12,45.45,Active Learning|Active Listening|Ansible software|Apache Spark|Bash|GitHub|Go|Learning Strategies|Mathematics|Monitoring|Speaking|Writing,Amazon Web Services AWS software|Apache Hadoop|Apache Kafka|C|C++|Critical Thinking|Docker|Git|Reading Comprehension|Science
47,Sales Representative,19,8,8,11,42.11,Active Learning|Adobe Acrobat|Adobe Illustrator|Adobe InDesign|Adobe Photoshop|Apple macOS|Microsoft Excel|Microsoft Outlook|Microsoft PowerPoint|Reading Comprehension|Speaking,Active Listening|Adobe Creative Cloud software|Autodesk AutoCAD|Critical Thinking|Microsoft Office software|Monitoring|Salesforce software|Writing
49,Sales Representative,19,8,8,11,42.11,Active Listening|Adobe Illustrator|Adobe Photoshop|Autodesk AutoCAD|Critical Thinking|Microsoft Office software|Microsoft Outlook|Microsoft PowerPoint|Monitoring|Reading Comprehension|Speaking,Active Learning|Adobe Acrobat|Adobe Creative Cloud software|Adobe InDesign|Apple macOS|Microsoft Excel|Salesforce software|Writing
51,Research Scientist,22,10,10,12,45.45,Active Learning|Amazon Web Services AWS software|Apache Hadoop|Apache Kafka|Apache Spark|C|GitHub|Go|Learning Strategies|Monitoring|Reading Comprehension|Science,Active Listening|Ansible software|Bash|C++|Critical Thinking|Docker|Git|Mathematics|Speaking|Writing
52,Sales Executive,19,9,9,10,47.37,Active Listening|Adobe Acrobat|Adobe Creative Cloud software|Adobe Illustrator|Adobe InDesign|Adobe Photoshop|Autodesk AutoCAD|Microsoft Outlook|Salesforce software|Writing,Active Learning|Apple macOS|Critical Thinking|Microsoft Excel|Microsoft Office software|Microsoft PowerPoint|Monitoring|Reading Comprehension|Speaking
53,Laboratory Technician,20,8,8,12,40.0,Active Learning|Active Listening|Critical Thinking|Data entry software|Google Docs|MEDITECH software|Microsoft Excel|Microsoft Office software|Microsoft PowerPoint|Microsoft Word|Monitoring|Speaking,Billing software|Commercial plate reader software|Database software|Microsoft Outlook|Reading Comprehension|SAP software|Science|Writing
54,Laboratory Technician,20,8,8,12,40.0,Active Listening|Billing software|Data entry software|Database software|Microsoft Excel|Microsoft Office software|Microsoft Word|Monitoring|Reading Comprehension|SAP software|Science|Writing,Active Learning|Commercial plate reader software|Critical Thinking|Google Docs|MEDITECH software|Microsoft Outlook|Microsoft PowerPoint|Speaking
55,Laboratory Technician,20,8,8,12,40.0,Billing software|Commercial plate reader software|Critical Thinking|Data entry software|Database software|Google Docs|Microsoft Office software|Microsoft Word|Monitoring|Science|Speaking|Writing,Active Learning|Active Listening|MEDITECH software|Microsoft Excel|Microsoft Outlook|Microsoft PowerPoint|Reading Comprehension|SAP software
56,Sales Executive,19,9,9,10,47.37,Active Learning|Adobe Acrobat|Adobe Illustrator|Adobe InDesign|Apple macOS|Microsoft Office software|Microsoft Outlook|Monitoring|Speaking|Writing,Active Listening|Adobe Creative Cloud software|Adobe Photoshop|Autodesk AutoCAD|Critical Thinking|Microsoft Excel|Microsoft PowerPoint|Reading Comprehension|Salesforce software
57,Laboratory Technician,20,10,10,10,50.0,Billing software|Commercial plate reader software|Google Docs|MEDITECH software|Microsoft Excel|Microsoft Office software|Microsoft PowerPoint|Microsoft Word|Reading Comprehension|SAP software,Active Learning|Active Listening|Critical Thinking|Data entry software|Database software|Microsoft Outlook|Monitoring|Science|Speaking|Writing
58,Research Director,22,14,14,8,63.64,Critical Thinking|IBM SPSS Statistics|Microsoft Outlook|Microsoft Visio|Monitoring|Reading Comprehension|Speaking|Writing,Active Learning|Active Listening|Adobe Acrobat|Adobe Photoshop|ESRI ArcGIS software|Learning Strategies|Mathematics|Microsoft Access|Microsoft Excel|Microsoft Office software|Microsoft PowerPoint|Microsoft Project|Microsoft SharePoint|Science
60,Sales Executive,19,9,9,10,47.37,Active Listening|Adobe Creative Cloud software|Adobe InDesign|Apple macOS|Microsoft Excel|Microsoft Office software|Microsoft PowerPoint|Reading Comprehension|Speaking|Writing,Active Learning|Adobe Acrobat|Adobe Illustrator|Adobe Photoshop|Autodesk AutoCAD|Critical Thinking|Microsoft Outlook|Monitoring|Salesforce software
61,Research Scientist,22,10,10,12,45.45,Active Learning|Ansible software|C|C++|Docker|Git|GitHub|Learning Strategies|Mathematics|Monitoring|Reading Comprehension|Science,Active Listening|Amazon Web Services AWS software|Apache Hadoop|Apache Kafka|Apache Spark|Bash|Critical Thinking|Go|Speaking|Writing
62,Sales Executive,19,10,10,9,52.63,Active Listening|Adobe Illustrator|Adobe Photoshop|Apple macOS|Critical Thinking|Microsoft Office software|Microsoft Outlook|Microsoft PowerPoint|Speaking,Active Learning|Adobe Acrobat|Adobe Creative Cloud software|Adobe InDesign|Autodesk AutoCAD|Microsoft Excel|Monitoring|Reading Comprehension|Salesforce software|Writing
63,Laboratory Technician,20,8,8,12,40.0,Active Learning|Active Listening|Billing software|Commercial plate reader software|Critical Thinking|Database software|Google Docs|Microsoft PowerPoint|Microsoft Word|Monitoring|Science|Writing,Data entry software|MEDITECH software|Microsoft Excel|Microsoft Office software|Microsoft Outlook|Reading Comprehension|SAP software|Speaking
64,Laboratory Technician,20,13,13,7,65.0,Google Docs|MEDITECH software|Microsoft Excel|Microsoft Office software|Microsoft PowerPoint|Microsoft Word|Writing,Active Learning|Active Listening|Billing software|Commercial plate reader software|Critical Thinking|Data entry software|Database software|Microsoft Outlook|Monitoring|Reading Comprehension|SAP software|Science|Speaking
65,Laboratory Technician,20,8,8,12,40.0,Active Listening|Billing software|Commercial plate reader software|Critical Thinking|Database software|Google Docs|MEDITECH software|Microsoft Outlook|Microsoft Word|Reading Comprehension|Science|Speaking,Active Learning|Data entry software|Microsoft Excel|Microsoft Office software|Microsoft PowerPoint|Monitoring|SAP software|Writing
68,Sales Executive,19,9,9,10,47.37,Active Learning|Adobe Illustrator|Adobe Photoshop|Apple macOS|Autodesk AutoCAD|Microsoft Outlook|Monitoring|Reading Comprehension|Speaking|Writing,Active Listening|Adobe Acrobat|Adobe Creative Cloud software|Adobe InDesign|Critical Thinking|Microsoft Excel|Microsoft Office software|Microsoft PowerPoint|Salesforce software
70,Healthcare Representative,19,9,9,10,47.37,Active Listening|Amazon Web Services AWS software|Critical Thinking|IBM SPSS Statistics|Intuit QuickBooks|Linux|Microsoft Excel|Microsoft Office software|Monitoring|Reading Comprehension,Active Learning|Apache Hadoop|Google Analytics|Google Workspace software|HubSpot software|Microsoft Outlook|Salesforce software|Speaking|Writing
72,Sales Executive,19,8,8,11,42.11,Active Learning|Active Listening|Adobe Acrobat|Adobe Creative Cloud software|Adobe Illustrator|Adobe InDesign|Apple macOS|Critical Thinking|Microsoft Office software|Monitoring|Salesforce software,Adobe Photoshop|Autodesk AutoCAD|Microsoft Excel|Microsoft Outlook|Microsoft PowerPoint|Reading Comprehension|Speaking|Writing
73,Research Director,22,12,12,10,54.55,Active Learning|Active Listening|ESRI ArcGIS software|Learning Strategies|Microsoft Office software|Microsoft Outlook|Microsoft PowerPoint|Microsoft SharePoint|Reading Comprehension|Writing,Adobe Acrobat|Adobe Photoshop|Critical Thinking|IBM SPSS Statistics|Mathematics|Microsoft Access|Microsoft Excel|Microsoft Project|Microsoft Visio|Monitoring|Science|Speaking
74,Sales Executive,19,9,9,10,47.37,Active Learning|Active Listening|Adobe Creative Cloud software|Adobe Illustrator|Adobe Photoshop|Autodesk AutoCAD|Critical Thinking|Microsoft Office software|Microsoft PowerPoint|Monitoring,Adobe Acrobat|Adobe InDesign|Apple macOS|Microsoft Excel|Microsoft Outlook|Reading Comprehension|Salesforce software|Speaking|Writing
75,Laboratory Technician,20,8,8,12,40.0,Active Listening|Billing software|Commercial plate reader software|Database software|Google Docs|MEDITECH software|Microsoft Office software|Microsoft Word|Reading Comprehension|SAP software|Science|Speaking,Active Learning|Critical Thinking|Data entry software|Microsoft Excel|Microsoft Outlook|Microsoft PowerPoint|Monitoring|Writing
76,Laboratory Technician,20,10,10,10,50.0,Active Learning|Active Listening|Billing software|Commercial plate reader software|Google Docs|Microsoft Excel|Microsoft Word|Monitoring|SAP software|Writing,Critical Thinking|Data entry software|Database software|MEDITECH software|Microsoft Office software|Microsoft Outlook|Microsoft PowerPoint|Reading Comprehension|Science|Speaking
77,Manufacturing Director,20,9,9,11,45.0,Adobe Acrobat|Adobe Creative Cloud software|Amazon Web Services AWS software|Apple macOS|Atlassian JIRA|Autodesk AutoCAD|Critical Thinking|Microsoft Excel|Monitoring|Reading Comprehension|Writing,Active Learning|Active Listening|Adobe Photoshop|Apache Hadoop|Atlassian Confluence|Learning Strategies|Microsoft Office software|Microsoft PowerPoint|Speaking
78,Manufacturing Director,20,10,10,10,50.0,Active Listening|Adobe Acrobat|Apache Hadoop|Atlassian Confluence|Atlassian JIRA|Autodesk AutoCAD|Microsoft Excel|Microsoft Office software|Microsoft PowerPoint|Reading Comprehension,Active Learning|Adobe Creative Cloud software|Adobe Photoshop|Amazon Web Services AWS software|Apple macOS|Critical Thinking|Learning Strategies|Monitoring|Speaking|Writing
79,Laboratory Technician,20,10,10,10,50.0,Active Listening|Commercial plate reader software|MEDITECH software|Microsoft Excel|Microsoft Office software|Microsoft PowerPoint|Microsoft Word|Monitoring|Reading Comprehension|Speaking,Active Learning|Billing software|Critical Thinking|Data entry software|Database software|Google Docs|Microsoft Outlook|SAP software|Science|Writing
80,Research Director,22,15,15,7,68.18,Adobe Photoshop|Learning Strategies|Microsoft PowerPoint|Microsoft SharePoint|Reading Comprehension|Science|Speaking,Active Learning|Active Listening|Adobe Acrobat|Critical Thinking|ESRI ArcGIS software|IBM SPSS Statistics|Mathematics|Microsoft Access|Microsoft Excel|Microsoft Office software|Microsoft Outlook|Microsoft Project|Microsoft Visio|Monitoring|Writing
81,Sales Executive,19,13,13,6,68.42,Adobe Acrobat|Adobe Illustrator|Adobe InDesign|Adobe Photoshop|Microsoft Excel|Speaking,Active Learning|Active Listening|Adobe Creative Cloud software|Apple macOS|Autodesk AutoCAD|Critical Thinking|Microsoft Office software|Microsoft Outlook|Microsoft PowerPoint|Monitoring|Reading Comprehension|Salesforce software|Writing
83,Healthcare Representative,19,11,11,8,57.89,Amazon Web Services AWS software|Google Analytics|Google Workspace software|Intuit QuickBooks|Microsoft Office software|Monitoring|Salesforce software|Speaking,Active Learning|Active Listening|Apache Hadoop|Critical Thinking|HubSpot software|IBM SPSS Statistics|Linux|Microsoft Excel|Microsoft Outlook|Reading Comprehension|Writing
84,Manager,20,12,12,8,60.0,Adobe Creative Cloud software|Apache Hadoop|Autodesk AutoCAD|Critical Thinking|Learning Strategies|Microsoft Excel|Microsoft Office software|Reading Comprehension,Active Learning|Active Listening|Adobe Acrobat|Adobe Photoshop|Amazon Web Services AWS software|Apple macOS|Atlassian Confluence|Atlassian JIRA|Microsoft PowerPoint|Monitoring|Speaking|Writing
85,Manufacturing Director,20,9,9,11,45.0,Active Learning|Adobe Acrobat|Adobe Creative Cloud software|Amazon Web Services AWS software|Apache Hadoop|Autodesk AutoCAD|Microsoft Excel|Microsoft Office software|Microsoft PowerPoint|Monitoring|Writing,Active Listening|Adobe Photoshop|Apple macOS|Atlassian Confluence|Atlassian JIRA|Critical Thinking|Learning Strategies|Reading Comprehension|Speaking
86,Research Scientist,22,14,14,8,63.64,Active Listening|Apache Kafka|Apache Spark|Critical Thinking|Git|GitHub|Go|Speaking,Active Learning|Amazon Web Services AWS software|Ansible software|Apache Hadoop|Bash|C|C++|Docker|Learning Strategies|Mathematics|Monitoring|Reading Comprehension|Science|Writing
88,Research Scientist,22,10,10,12,45.45,Active Learning|Active Listening|Amazon Web Services AWS software|Apache Hadoop|Bash|C++|Critical Thinking|Git|GitHub|Go|Mathematics|Writing,Ansible software|Apache Kafka|Apache Spark|C|Docker|Learning Strategies|Monitoring|Reading Comprehension|Science|Speaking
90,Research Scientist,22,9,9,13,40.91,Active Learning|Amazon Web Services AWS software|Ansible software|Apache Hadoop|Apache Spark|Bash|C++|Critical Thinking|GitHub|Learning Strategies|Reading Comprehension|Speaking|Writing,Active Listening|Apache Kafka|C|Docker|Git|Go|Mathematics|Monitoring|Science
91,Sales Executive,19,11,11,8,57.89,Active Listening|Adobe Photoshop|Apple macOS|Critical Thinking|Microsoft Excel|Monitoring|Speaking|Writing,Active Learning|Adobe Acrobat|Adobe Creative Cloud software|Adobe Illustrator|Adobe InDesign|Autodesk AutoCAD|Microsoft Office software|Microsoft Outlook|Microsoft PowerPoint|Reading Comprehension|Salesforce software
94,Research Scientist,22,10,10,12,45.45,Active Learning|Amazon Web Services AWS software|Apache Hadoop|Apache Spark|C++|Go|Learning Strategies|Mathematics|Monitoring|Reading Comprehension|Science|Speaking,Active Listening|Ansible software|Apache Kafka|Bash|C|Critical Thinking|Docker|Git|GitHub|Writing
95,Research Scientist,22,9,9,13,40.91,Active Listening|Ansible software|Apache Hadoop|Apache Spark|C|C++|Docker|Git|Go|Learning Strategies|Mathematics|Monitoring|Speaking,Active Learning|Amazon Web Services AWS software|Apache Kafka|Bash|Critical Thinking|GitHub|Reading Comprehension|Science|Writing
96,Research Scientist,22,11,11,11,50.0,Active Listening|Amazon Web Services AWS software|Ansible software|Bash|C++|Docker|Git|GitHub|Mathematics|Reading Comprehension|Science,Active Learning|Apache Hadoop|Apache Kafka|Apache Spark|C|Critical Thinking|Go|Learning Strategies|Monitoring|Speaking|Writing
97,Laboratory Technician,20,9,9,11,45.0,Active Learning|Active Listening|Billing software|MEDITECH software|Microsoft Excel|Microsoft PowerPoint|Microsoft Word|Monitoring|SAP software|Speaking|Writing,Commercial plate reader software|Critical Thinking|Data entry software|Database software|Google Docs|Microsoft Office software|Microsoft Outlook|Reading Comprehension|Science
98,Manufacturing Director,20,10,10,10,50.0,Active Learning|Adobe Creative Cloud software|Adobe Photoshop|Amazon Web Services AWS software|Apache Hadoop|Critical Thinking|Learning Strategies|Microsoft Office software|Monitoring|Writing,Active Listening|Adobe Acrobat|Apple macOS|Atlassian Confluence|Atlassian JIRA|Autodesk AutoCAD|Microsoft Excel|Microsoft PowerPoint|Reading Comprehension|Speaking
100,Sales Executive,19,11,11,8,57.89,Adobe Acrobat|Microsoft Excel|Microsoft Office software|Microsoft Outlook|Microsoft PowerPoint|Monitoring|Speaking|Writing,Active Learning|Active Listening|Adobe Creative Cloud software|Adobe Illustrator|Adobe InDesign|Adobe Photoshop|Apple macOS|Autodesk AutoCAD|Critical Thinking|Reading Comprehension|Salesforce software
101,Research Director,22,13,13,9,59.09,Adobe Acrobat|Learning Strategies|Microsoft Access|Microsoft Excel|Microsoft PowerPoint|Microsoft Project|Microsoft SharePoint|Microsoft Visio|Speaking,Active Learning|Active Listening|Adobe Photoshop|Critical Thinking|ESRI ArcGIS software|IBM SPSS Statistics|Mathematics|Microsoft Office software|Microsoft Outlook|Monitoring|Reading Comprehension|Science|Writing
102,Research Director,22,12,12,10,54.55,Adobe Acrobat|ESRI ArcGIS software|IBM SPSS Statistics|Learning Strategies|Mathematics|Microsoft Access|Microsoft Office software|Microsoft Project|Microsoft SharePoint|Reading Comprehension,Active Learning|Active Listening|Adobe Photoshop|Critical Thinking|Microsoft Excel|Microsoft Outlook|Microsoft PowerPoint|Microsoft Visio|Monitoring|Science|Speaking|Writing
103,Human Resources,20,11,11,9,55.0,Active Listening|Adobe Acrobat|Adobe Photoshop|Critical Thinking|Learning Strategies|Microsoft Excel|Microsoft Office software|Speaking|Writing,Active Learning|Adobe Creative Cloud software|Adobe Illustrator|Adobe InDesign|Applicant tracking software|Microsoft Outlook|Microsoft PowerPoint|Monitoring|Oracle HRIS|Reading Comprehension|Workday software
